,Bina novu,mekan,mertebe,otaq sayi,qiymet,sahe,sened
264,Kohne Tikili,Bineqedi r.,6.0,2,87000,50 ,Kupcali
265,Kohne Tikili,Yasamal r.,3.0,2,88000,50 ,Kupcali
266,Yeni Tikili,Bineqedi r.,10.0,4,230000,160 ,Kupcasiz
267,Yeni Tikili,Yasamal r.,18.0,4,250000,141 ,Kupcali
268,Yeni Tikili,Sabuncu r.,5.0,2,70000,85 ,Kupcasiz
269,Yeni Tikili,,,2,25000,62 ,Kupcasiz
270,Yeni Tikili,,4.0,2,37050,57 ,Kupcali
271,Yeni Tikili,Xetai r.,14.0,3,188000,132 ,Kupcali
272,Yeni Tikili,Bineqedi r.,3.0,3,127000,101 ,Kupcali
273,Kohne Tikili,,,5,155000,125 ,Kupcasiz
274,Kohne Tikili,Nerimanov r.,1.0,2,70000,47 ,Kupcali
275,Yeni Tikili,Bineqedi r.,17.0,3,178000,178000 ,Kupcali
276,Yeni Tikili,Bineqedi r.,8.0,3,220000,133 ,Kupcali
277,Yeni Tikili,Yasamal r.,15.0,3,175000,136 ,Kupcali
278,Kohne Tikili,Nesimi r.,1.0,2,68000,47 ,Kupcali
279,Yeni Tikili,Nesimi r.,3.0,3,155000,110 ,Kupcali
280,Kohne Tikili,Nizami r.,4.0,1,27000,25 ,Kupcasiz
281,Yeni Tikili,Yasamal r.,11.0,2,110000,85 ,Kupcali
282,Yeni Tikili,Yasamal r.,11.0,3,157000,128 ,Kupcali
283,Yeni Tikili,Nizami r.,16.0,3,128000,100 ,Kupcasiz
284,Kohne Tikili,Bineqedi r.,2.0,4,135000,110 ,Kupcali
285,Kohne Tikili,Xetai r.,7.0,3,82000,80 ,Kupcali
286,Yeni Tikili,,4.0,2,108000,93 ,Kupcali
287,Yeni Tikili,,16.0,3,107000,124 ,Kupcali
288,Kohne Tikili,,2.0,2,87000,60 ,Kupcali
289,Yeni Tikili,Yasamal r.,5.0,3,159000,90 ,Kupcali
290,Yeni Tikili,Xetai r.,14.0,3,220000,117 ,Kupcali
291,Yeni Tikili,Nizami r.,10.0,3,150000,80 ,Kupcasiz
292,Kohne Tikili,,,3,48000,40 ,Kupcali
293,Kohne Tikili,Yasamal r.,3.0,2,88000,50 ,Kupcali
294,Yeni Tikili,Nerimanov r.,11.0,2,175000,108 ,Kupcasiz
295,Yeni Tikili,Sebail r.,7.0,5,990000,252 ,Kupcali
296,Kohne Tikili,Bineqedi r.,2.0,1,54000,32 ,Kupcali
297,Yeni Tikili,,,3,255000,130 ,Kupcasiz
